Paris	novella	210	Scotland 
 
Paris	novella	210	Ireland 
 
Paris	novella	210	Calais 
 
Paris	novella	210	Picardy 
 
Paris	novella	210	Wales 
 
Paris	novella	210	Stamford 
 
Paris	novella	210	Rouen 
 
Paris	novella	210	Genoa 
 
Paris	novella	210	Alexandria 
 
Paris	novella	210	Alba 
 
Paris	novella	210	San Pancrazio 
 
Paris	novella	210	Naples 
 
Paris	novella	210	Roussillon 
 
Paris	novella	210	Montpellier 
 
Paris	novella	210	Bologna 
 
Paris	novella	210	Holy Sepulchre 
 
Paris	novella	210	India 
 
Paris	novella	210	Santa Lucia of Prato 
 
Paris	novella	210	Arno 
 
Paris	novella	210	Via del Cocomero 
 
Paris	novella	210	San Gallo 
 
Paris	novella	210	Legnaia 
 
Paris	novella	210	Montesone 
 
Paris	novella	210	Berlinzone 
 
Paris	novella	210	Narsia 
 
Paris	novella	210	Venice 
 
Paris	novella	210	Peretola 
 
Paris	novella	210	Cacavincigli 
 
Paris	novella	210	Vallecchio 
 
Paris	novella	210	Civillari 
 
Paris	novella	210	Arezzo 
 
Paris	novella	210	Santa Maria Novella 
 
Paris	novella	210	Santa Maria della Scala 
 
Paris	novella	210	Ripoli 
 
Paris	novella	210	Pavia 
 
Paris	novella	210	Holy Land 
 
Paris	novella	210	Babylon 
 
Paris	novella	210	Egypt 
 
Paris	novella	210	Lombardy 
 
Paris	novella	210	Milan 
 
Paris	novella	210	Ticino 
 
Paris	novella	210	Cyprus 
 
Paris	novella	210	Provence 
 
Paris	novella	210	Crete 
 
Paris	novella	210	Sicily 
 
Paris	novella	210	San Piero in Ciel d'Oro 
 
Burgundy	novella	7	France 
 
Burgundy	novella	7	Tuscany 
 
Burgundy	novella	7	Prato 
 
Burgundy	novella	7	Paris 
 
Rome	novella	94	Paris 
 
Rome	novella	94	Notre Dame 
 
Rome	novella	94	England 
 
Rome	novella	94	Florence 
 
Rome	novella	94	London 
 
Rome	novella	94	Italy 
 
Rome	novella	94	Tuscany 
 
Rome	novella	94	Scotland 
 
Rome	novella	94	Avignon 
 
Rome	novella	94	Sicily 
 
Rome	novella	94	Trapani 
 
Rome	novella	94	Armenia 
 
Rome	novella	94	Bologna 
 
Rome	novella	94	Via del Cocomero 
 
Rome	novella	94	San Gallo 
 
Rome	novella	94	Legnaia 
 
Rome	novella	94	Montesone 
 
Rome	novella	94	Berlinzone 
 
Rome	novella	94	Narsia 
 
Rome	novella	94	Venice 
 
Rome	novella	94	France 
 
Rome	novella	94	Peretola 
 
Rome	novella	94	Cacavincigli 
 
Rome	novella	94	Vallecchio 
 
Rome	novella	94	Civillari 
 
Rome	novella	94	Arno 
 
Rome	novella	94	Arezzo 
 
Rome	novella	94	Santa Maria Novella 
 
Rome	novella	94	Santa Maria della Scala 
 
Rome	novella	94	Ripoli 
 
Rome	novella	94	Siena 
 
Rome	novella	94	Radicofani 
 
Rome	novella	94	Corniglia 
 
Rome	novella	94	Capitol 
 
Rome	novella	94	Achaia 
 
Rome	novella	94	Saluzzo 
 
Notre Dame	novella	10	Rome 
 
Notre Dame	novella	10	Paris 
 
Egypt	novella	132	Alexandria 
 
Egypt	novella	132	Babylon 
 
Egypt	novella	132	Garbo 
 
Egypt	novella	132	Granada 
 
Egypt	novella	132	Sardinia 
 
Egypt	novella	132	Majorca 
 
Egypt	novella	132	Morea 
 
Egypt	novella	132	Constantinople 
 
Egypt	novella	132	Egina 
 
Egypt	novella	132	Chios 
 
Egypt	novella	132	Smyrna 
 
Egypt	novella	132	Cappadocia 
 
Egypt	novella	132	Rhodes 
 
Egypt	novella	132	Cyprus 
 
Egypt	novella	132	Baffa 
 
Egypt	novella	132	Armenia 
 
Egypt	novella	132	Famagosta 
 
Egypt	novella	132	Aguamorta 
 
Egypt	novella	132	Crete 
 
Egypt	novella	132	France 
 
Egypt	novella	132	Certaldo 
 
Egypt	novella	132	Tuscany 
 
Egypt	novella	132	Holy Land 
 
Egypt	novella	132	Nazareth 
 
Egypt	novella	132	Italy 
 
Egypt	novella	132	Porcellana 
 
Egypt	novella	132	Venice 
 
Egypt	novella	132	Florence 
 
Egypt	novella	132	Baldacca 
 
Egypt	novella	132	Parione 
 
Egypt	novella	132	Arno 
 
Egypt	novella	132	Truffia 
 
Egypt	novella	132	Buffia 
 
Egypt	novella	132	Menzogna 
 
Egypt	novella	132	Abruzzi 
 
Egypt	novella	132	India 
 
Egypt	novella	132	Jerusalem 
 
Egypt	novella	132	Caprezio 
 
Egypt	novella	132	Pavia 
 
Egypt	novella	132	Lombardy 
 
Egypt	novella	132	Milan 
 
Egypt	novella	132	Ticino 
 
Egypt	novella	132	Paris 
 
Egypt	novella	132	Genoa 
 
Egypt	novella	132	Provence 
 
Egypt	novella	132	Sicily 
 
Egypt	novella	132	San Piero in Ciel d'Oro 
 
Alexandria	novella	150	Egypt 
 
Alexandria	novella	150	Lunigiana 
 
Alexandria	novella	150	Sicily 
 
Alexandria	novella	150	Naples 
 
Alexandria	novella	150	Benevento 
 
Alexandria	novella	150	Lipari 
 
Alexandria	novella	150	Ponza 
 
Alexandria	novella	150	Gaeta 
 
Alexandria	novella	150	Apulia 
 
Alexandria	novella	150	Magra 
 
Alexandria	novella	150	Tuscany 
 
Alexandria	novella	150	Genoa 
 
Alexandria	novella	150	Procida 
 
Alexandria	novella	150	Lerici 
 
Alexandria	novella	150	Palermo 
 
Alexandria	novella	150	Babylon 
 
Alexandria	novella	150	Garbo 
 
Alexandria	novella	150	Granada 
 
Alexandria	novella	150	Sardinia 
 
Alexandria	novella	150	Majorca 
 
Alexandria	novella	150	Morea 
 
Alexandria	novella	150	Constantinople 
 
Alexandria	novella	150	Egina 
 
Alexandria	novella	150	Chios 
 
Alexandria	novella	150	Smyrna 
 
Alexandria	novella	150	Cappadocia 
 
Alexandria	novella	150	Rhodes 
 
Alexandria	novella	150	Cyprus 
 
Alexandria	novella	150	Baffa 
 
Alexandria	novella	150	Armenia 
 
Alexandria	novella	150	Famagosta 
 
Alexandria	novella	150	Aguamorta 
 
Alexandria	novella	150	Crete 
 
Alexandria	novella	150	France 
 
Alexandria	novella	150	Italy 
 
Alexandria	novella	150	Paris 
 
Alexandria	novella	150	Alba 
 
Alexandria	novella	150	Pavia 
 
Alexandria	novella	150	Holy Land 
